Type of Repo,Repo Name,Repo GiniIndex,File GiniIndex,Class GiniIndex,Method GiniIndex,File GiniIndex Info,File GiniIndex Error,File GiniIndex Warning,File GiniIndex Debug,File GiniIndex Trace,File GiniIndex Fatal,Class GiniIndex Info,Class GiniIndex Error,Class GiniIndex Warning,Class GiniIndex Debug,Class GiniIndex Trace,Class GiniIndex Fatal,Method GiniIndex Info,Method GiniIndex Error,Method GiniIndex Warning,Method GiniIndex Debug,Method GiniIndex Trace,Method GiniIndex Fatal
NonDataScience,Limnoria,0.562499978,0.87676841,0.9202634,0.913517923,0.826895413,0.981632638,,,0.957142831,,0.969997905,,,,0.984523783,,0.963135649,0.978571423,,,0.98441555,
NonDataScience,cornice,0.733333304,0.914567303,0.939814791,0.922689666,0.903703733,,,,,,0.938271598,,,,,,0.938271598,,,,,
NonDataScience,example-code,0.778207361,0.69888524,0.926522459,0.780294481,0.69881379,0.99558365,,,,,0.971932387,,,,,,0.863629879,0.996144398,,,,
NonDataScience,SafeEyes,0.785714321,0.760840234,0.740523311,0.608910061,0.573979592,0.809523801,0.892857103,0.916666658,,,0.715320941,0.857142837,0.928571419,0.915584435,,,0.795031031,0.896825409,0.921768707,0.925324695,,
NonDataScience,dymerge,0.607407397,0,,0,0,,,,,,,,,,,,0,,,,,
NonDataScience,srtm.py,0.54358973,0.558155365,0.799054357,0.575803691,0.624999995,,,0.888888847,,,0.768518496,,,0.888888882,,,0.673611106,,,0.888888882,,
NonDataScience,elegant-scipy,0.697872369,0.579392166,,0.704424782,0.53155557,0.960000021,,,,,,,,,,,0.88000002,0.960000021,,,,
NonDataScience,KindleEar,0.593890039,0.921401527,0.951706279,0.950427356,0.932800065,0.987582782,0.993377484,,0.971941408,,0.967459469,0.994481191,0.993377484,,0.988323422,,0.948432355,0.990066254,0.994481191,,0.981352352,
NonDataScience,taiga-ncurses,0.799999988,0.965517222,,,0.965517245,,,,,,,,,,,,,,,,,
NonDataScience,pybreaker,0.66666664,0.141441437,0.01282051,0.034201961,0,,,,0.5,,0,,,,0.5,,0.5,,,,0.5,
