API_Link,Repo_Link
https://api.github.com/repos/bhansconnect/alpha_zero_othello,https://github.com/bhansconnect/alpha_zero_othello
https://api.github.com/repos/RaphaelMeudec/deblur-gan,https://github.com/RaphaelMeudec/deblur-gan
https://api.github.com/repos/dvornikita/blitznet,https://github.com/dvornikita/blitznet
https://api.github.com/repos/albermax/innvestigate,https://github.com/albermax/innvestigate
https://api.github.com/repos/Conchylicultor/DeepQA,https://github.com/Conchylicultor/DeepQA
https://api.github.com/repos/kvh/ramp,https://github.com/kvh/ramp
https://api.github.com/repos/thu-ml/zhusuan,https://github.com/thu-ml/zhusuan
https://api.github.com/repos/amueller/scipy_2015_sklearn_tutorial,https://github.com/amueller/scipy_2015_sklearn_tutorial
https://api.github.com/repos/MajorTal/DeepSpell,https://github.com/MajorTal/DeepSpell
https://api.github.com/repos/hzy46/fast-neural-style-tensorflow,https://github.com/hzy46/fast-neural-style-tensorflow
https://api.github.com/repos/astorfi/3D-convolutional-speaker-recognition,https://github.com/astorfi/3D-convolutional-speaker-recognition
https://api.github.com/repos/chainer/chainer-chemistry,https://github.com/chainer/chainer-chemistry
https://api.github.com/repos/miloharper/simple-neural-network,https://github.com/miloharper/simple-neural-network
https://api.github.com/repos/keras-team/keras-applications,https://github.com/keras-team/keras-applications
https://api.github.com/repos/tensorflow/kfac,https://github.com/tensorflow/kfac
https://api.github.com/repos/mpatacchiola/deepgaze,https://github.com/mpatacchiola/deepgaze
https://api.github.com/repos/htm-community/nupic.studio,https://github.com/htm-community/nupic.studio
https://api.github.com/repos/CamDavidsonPilon/tdigest,https://github.com/CamDavidsonPilon/tdigest
https://api.github.com/repos/xdever/RFCN-tensorflow,https://github.com/xdever/RFCN-tensorflow
https://api.github.com/repos/kgrm/NALU,https://github.com/kgrm/NALU
https://api.github.com/repos/TargetHolding/pyspark-cassandra,https://github.com/TargetHolding/pyspark-cassandra
https://api.github.com/repos/jn2clark/nn-iterated-projections,https://github.com/jn2clark/nn-iterated-projections
https://api.github.com/repos/cbaziotis/datastories-semeval2017-task4,https://github.com/cbaziotis/datastories-semeval2017-task4
https://api.github.com/repos/UKPLab/deeplearning4nlp-tutorial,https://github.com/UKPLab/deeplearning4nlp-tutorial
https://api.github.com/repos/inejc/painters,https://github.com/inejc/painters
https://api.github.com/repos/ozan-oktay/Attention-Gated-Networks,https://github.com/ozan-oktay/Attention-Gated-Networks
https://api.github.com/repos/mrahtz/easy-tf-log,https://github.com/mrahtz/easy-tf-log
https://api.github.com/repos/oreilly-japan/deep-learning-from-scratch-2,https://github.com/oreilly-japan/deep-learning-from-scratch-2
https://api.github.com/repos/tensorflow/moonlight,https://github.com/tensorflow/moonlight
https://api.github.com/repos/MaybeShewill-CV/CRNN_Tensorflow,https://github.com/MaybeShewill-CV/CRNN_Tensorflow
https://api.github.com/repos/pierluigiferrari/ssd_keras,https://github.com/pierluigiferrari/ssd_keras
https://api.github.com/repos/HamedMP/ImageFlow,https://github.com/HamedMP/ImageFlow
https://api.github.com/repos/ColeMurray/medium-facenet-tutorial,https://github.com/ColeMurray/medium-facenet-tutorial
https://api.github.com/repos/batzner/indrnn,https://github.com/batzner/indrnn
https://api.github.com/repos/yao62995/A3C,https://github.com/yao62995/A3C
https://api.github.com/repos/algorithmiaio/danku,https://github.com/algorithmiaio/danku
https://api.github.com/repos/keunwoochoi/kapre,https://github.com/keunwoochoi/kapre
https://api.github.com/repos/Rayhane-mamah/Tacotron-2,https://github.com/Rayhane-mamah/Tacotron-2
https://api.github.com/repos/MichalDanielDobrzanski/DeepLearningPython35,https://github.com/MichalDanielDobrzanski/DeepLearningPython35
https://api.github.com/repos/shenweichen/DeepCTR,https://github.com/shenweichen/DeepCTR
https://api.github.com/repos/scikit-garden/scikit-garden,https://github.com/scikit-garden/scikit-garden
https://api.github.com/repos/billzorn/mtgencode,https://github.com/billzorn/mtgencode
https://api.github.com/repos/QUVA-Lab/artemis,https://github.com/QUVA-Lab/artemis
https://api.github.com/repos/HadoopIt/joint-slu-lm,https://github.com/HadoopIt/joint-slu-lm
https://api.github.com/repos/equalitie/learn2ban,https://github.com/equalitie/learn2ban
https://api.github.com/repos/fvisin/reseg,https://github.com/fvisin/reseg
https://api.github.com/repos/persistforever/cifar10-tensorflow,https://github.com/persistforever/cifar10-tensorflow
https://api.github.com/repos/devsisters/pointer-network-tensorflow,https://github.com/devsisters/pointer-network-tensorflow
https://api.github.com/repos/minimaxir/textgenrnn,https://github.com/minimaxir/textgenrnn
https://api.github.com/repos/Zackory/Keras-MNIST-GAN,https://github.com/Zackory/Keras-MNIST-GAN
https://api.github.com/repos/tensorflow/data-validation,https://github.com/tensorflow/data-validation
https://api.github.com/repos/raghakot/keras-vis,https://github.com/raghakot/keras-vis
https://api.github.com/repos/tkipf/gcn,https://github.com/tkipf/gcn
https://api.github.com/repos/liu-nlper/DocumentClassification,https://github.com/liu-nlper/DocumentClassification
https://api.github.com/repos/hunkim/word-rnn-tensorflow,https://github.com/hunkim/word-rnn-tensorflow
https://api.github.com/repos/jacobgil/keras-grad-cam,https://github.com/jacobgil/keras-grad-cam
https://api.github.com/repos/jiaruncao/Readers,https://github.com/jiaruncao/Readers
https://api.github.com/repos/NVlabs/noise2noise,https://github.com/NVlabs/noise2noise
https://api.github.com/repos/BenWhetton/keras-surgeon,https://github.com/BenWhetton/keras-surgeon
https://api.github.com/repos/tensorflowkorea/tensorflow-kr,https://github.com/tensorflowkorea/tensorflow-kr
https://api.github.com/repos/yeephycho/tensorflow_input_image_by_tfrecord,https://github.com/yeephycho/tensorflow_input_image_by_tfrecord
https://api.github.com/repos/hardmaru/write-rnn-tensorflow,https://github.com/hardmaru/write-rnn-tensorflow
https://api.github.com/repos/snipsco/ntm-lasagne,https://github.com/snipsco/ntm-lasagne
https://api.github.com/repos/llSourcell/how_to_convert_text_to_images,https://github.com/llSourcell/how_to_convert_text_to_images
https://api.github.com/repos/tensorprob/tensorprob,https://github.com/tensorprob/tensorprob
https://api.github.com/repos/eragonruan/text-detection-ctpn,https://github.com/eragonruan/text-detection-ctpn
https://api.github.com/repos/philferriere/dlwin,https://github.com/philferriere/dlwin
https://api.github.com/repos/hexiangnan/attentional_factorization_machine,https://github.com/hexiangnan/attentional_factorization_machine
https://api.github.com/repos/albertomontesg/keras-model-zoo,https://github.com/albertomontesg/keras-model-zoo
https://api.github.com/repos/llSourcell/tensorflow_chatbot,https://github.com/llSourcell/tensorflow_chatbot
https://api.github.com/repos/liu-nlper/NER-LSTM-CRF,https://github.com/liu-nlper/NER-LSTM-CRF
https://api.github.com/repos/lpty/tensorflow_tutorial,https://github.com/lpty/tensorflow_tutorial
https://api.github.com/repos/bojone/Capsule,https://github.com/bojone/Capsule
https://api.github.com/repos/konlpy/konlpy,https://github.com/konlpy/konlpy
https://api.github.com/repos/fabianbormann/Tensorflow-DeconvNet-Segmentation,https://github.com/fabianbormann/Tensorflow-DeconvNet-Segmentation
https://api.github.com/repos/deeppomf/DeepCreamPy,https://github.com/deeppomf/DeepCreamPy
https://api.github.com/repos/cameronfabbri/Colorful-Image-Colorization,https://github.com/cameronfabbri/Colorful-Image-Colorization
https://api.github.com/repos/BradNeuberg/cloudless,https://github.com/BradNeuberg/cloudless
https://api.github.com/repos/nicola-decao/s-vae-tf,https://github.com/nicola-decao/s-vae-tf
https://api.github.com/repos/tdeboissiere/DeepLearningImplementations,https://github.com/tdeboissiere/DeepLearningImplementations
https://api.github.com/repos/jimenbian/DataMining,https://github.com/jimenbian/DataMining
https://api.github.com/repos/FredericGodin/DynamicCNN,https://github.com/FredericGodin/DynamicCNN
https://api.github.com/repos/exp-db/AI-Driven-WAF,https://github.com/exp-db/AI-Driven-WAF
https://api.github.com/repos/IBM/AIF360,https://github.com/IBM/AIF360
https://api.github.com/repos/JihongJu/keras-fcn,https://github.com/JihongJu/keras-fcn
https://api.github.com/repos/dongjun-Lee/text-summarization-tensorflow,https://github.com/dongjun-Lee/text-summarization-tensorflow
https://api.github.com/repos/bfelbo/DeepMoji,https://github.com/bfelbo/DeepMoji
https://api.github.com/repos/Cloud-CV/Fabrik,https://github.com/Cloud-CV/Fabrik
https://api.github.com/repos/Li-Ming-Fan/OCR-DETECTION-CTPN,https://github.com/Li-Ming-Fan/OCR-DETECTION-CTPN
https://api.github.com/repos/dnouri/nolearn,https://github.com/dnouri/nolearn
https://api.github.com/repos/maciejkula/glove-python,https://github.com/maciejkula/glove-python
https://api.github.com/repos/yu4u/convnet-drawer,https://github.com/yu4u/convnet-drawer
https://api.github.com/repos/microsoft/gated-graph-neural-network-samples,https://github.com/microsoft/gated-graph-neural-network-samples
https://api.github.com/repos/kastnerkyle/PyCon2015,https://github.com/kastnerkyle/PyCon2015
https://api.github.com/repos/shaohua0116/Group-Normalization-Tensorflow,https://github.com/shaohua0116/Group-Normalization-Tensorflow
https://api.github.com/repos/joelgrus/joelnet,https://github.com/joelgrus/joelnet
https://api.github.com/repos/MorvanZhou/Tensorflow-Tutorial,https://github.com/MorvanZhou/Tensorflow-Tutorial
https://api.github.com/repos/pbhatia243/Neural_Conversation_Models,https://github.com/pbhatia243/Neural_Conversation_Models
https://api.github.com/repos/wuzheng-sjtu/FastFPN,https://github.com/wuzheng-sjtu/FastFPN
https://api.github.com/repos/kcct-fujimotolab/3DCNN,https://github.com/kcct-fujimotolab/3DCNN
https://api.github.com/repos/titu1994/keras-non-local-nets,https://github.com/titu1994/keras-non-local-nets
https://api.github.com/repos/MatthieuCourbariaux/BinaryConnect,https://github.com/MatthieuCourbariaux/BinaryConnect
https://api.github.com/repos/mquad/hgru4rec,https://github.com/mquad/hgru4rec
https://api.github.com/repos/PeptoneInc/dspp-keras,https://github.com/PeptoneInc/dspp-keras
https://api.github.com/repos/MillionIntegrals/vel,https://github.com/MillionIntegrals/vel
https://api.github.com/repos/ujjwalkarn/DataSciencePython,https://github.com/ujjwalkarn/DataSciencePython
https://api.github.com/repos/mikelynn2/sentimentAPI,https://github.com/mikelynn2/sentimentAPI
https://api.github.com/repos/tomasz-oponowicz/spoken_language_identification,https://github.com/tomasz-oponowicz/spoken_language_identification
https://api.github.com/repos/Belval/CRNN,https://github.com/Belval/CRNN
https://api.github.com/repos/GoogleCloudPlatform/cloudml-samples,https://github.com/GoogleCloudPlatform/cloudml-samples
https://api.github.com/repos/sadeepj/crfasrnn_keras,https://github.com/sadeepj/crfasrnn_keras
https://api.github.com/repos/cloudacademy/sentiment-analysis-aws-lambda,https://github.com/cloudacademy/sentiment-analysis-aws-lambda
https://api.github.com/repos/DwangoMediaVillage/keras_compressor,https://github.com/DwangoMediaVillage/keras_compressor
https://api.github.com/repos/jocicmarko/ultrasound-nerve-segmentation,https://github.com/jocicmarko/ultrasound-nerve-segmentation
https://api.github.com/repos/EdwardTyantov/ultrasound-nerve-segmentation,https://github.com/EdwardTyantov/ultrasound-nerve-segmentation
https://api.github.com/repos/wen-fei/ML-IN-ACTION,https://github.com/wen-fei/ML-IN-ACTION
https://api.github.com/repos/snowkylin/TensorFlow-cn,https://github.com/snowkylin/TensorFlow-cn
https://api.github.com/repos/llSourcell/tensorflow_demo,https://github.com/llSourcell/tensorflow_demo
https://api.github.com/repos/ClimbsRocks/auto_ml,https://github.com/ClimbsRocks/auto_ml
https://api.github.com/repos/soeaver/Pytorch_Mask_RCNN,https://github.com/soeaver/Pytorch_Mask_RCNN
https://api.github.com/repos/asanakoy/deeppose_tf,https://github.com/asanakoy/deeppose_tf
https://api.github.com/repos/lopuhin/kaggle-dstl,https://github.com/lopuhin/kaggle-dstl
https://api.github.com/repos/chongyangtao/DeepHCCR,https://github.com/chongyangtao/DeepHCCR
https://api.github.com/repos/Yaoshicn/decaptcha,https://github.com/Yaoshicn/decaptcha
https://api.github.com/repos/FitMachineLearning/FitML,https://github.com/FitMachineLearning/FitML
https://api.github.com/repos/cesc-park/CRCN,https://github.com/cesc-park/CRCN
https://api.github.com/repos/kuaikuaikim/DFace,https://github.com/kuaikuaikim/DFace
https://api.github.com/repos/hugorut/neural-cli,https://github.com/hugorut/neural-cli
https://api.github.com/repos/abhishekkrthakur/clickbaits_revisited,https://github.com/abhishekkrthakur/clickbaits_revisited
https://api.github.com/repos/juliandewit/kaggle_ndsb2,https://github.com/juliandewit/kaggle_ndsb2
https://api.github.com/repos/harpribot/deep-summarization,https://github.com/harpribot/deep-summarization
https://api.github.com/repos/DeepRNN/image_captioning,https://github.com/DeepRNN/image_captioning
https://api.github.com/repos/sapruash/RecursiveNN,https://github.com/sapruash/RecursiveNN
https://api.github.com/repos/chainer/chainer,https://github.com/chainer/chainer
https://api.github.com/repos/sebastianheinz/stockprediction,https://github.com/sebastianheinz/stockprediction
https://api.github.com/repos/kevinjliang/tf-Faster-RCNN,https://github.com/kevinjliang/tf-Faster-RCNN
https://api.github.com/repos/svenkreiss/databench,https://github.com/svenkreiss/databench
https://api.github.com/repos/benanne/kaggle-galaxies,https://github.com/benanne/kaggle-galaxies
https://api.github.com/repos/fizyr/keras-maskrcnn,https://github.com/fizyr/keras-maskrcnn
https://api.github.com/repos/shirosaidev/stocksight,https://github.com/shirosaidev/stocksight
https://api.github.com/repos/suriyadeepan/rnn-from-scratch,https://github.com/suriyadeepan/rnn-from-scratch
https://api.github.com/repos/yahoo/open_nsfw,https://github.com/yahoo/open_nsfw
https://api.github.com/repos/tperol/ConvNetQuake,https://github.com/tperol/ConvNetQuake
https://api.github.com/repos/Lasagne/Lasagne,https://github.com/Lasagne/Lasagne
https://api.github.com/repos/pinkeshbadjatiya/twitter-hatespeech,https://github.com/pinkeshbadjatiya/twitter-hatespeech
https://api.github.com/repos/kutoga/going_deeper,https://github.com/kutoga/going_deeper
